#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","BM374-1","SAMN16560584","PRJNA672205","GCA_015287805.1","Complete",5.8436,57.0006,"chromosome:NZ_CP063917.1/CP063917.1; plasmid pBM374-1:NZ_CP063918.1/CP063918.1",,2,5337,"2020-11-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/287/805/GCA_015287805.1_ASM1528780v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/287/805/GCF_015287805.1_ASM1528780v1"
"Klebsiella michiganensis","Bacteria;Proteobacteria;Gammaproteobacteria","B106","SAMN16425386","PRJNA668866","GCA_016616645.1","Complete",6.46612,54.9266,"chromosome:NZ_CP067093.1/CP067093.1; plasmid p1:NZ_CP067094.1/CP067094.1; plasmid p2:NZ_CP067095.1/CP067095.1; plasmid p3:NZ_CP067096.1/CP067096.1",,4,5886,"2021-01-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/616/645/GCA_016616645.1_ASM1661664v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/616/645/GCF_016616645.1_ASM1661664v1"
"Klebsiella oxytoca","Bacteria;Proteobacteria;Gammaproteobacteria","RHBSTW-00529","SAMN15148647","PRJNA605147","GCA_013747515.1","Complete",6.17256,55.8296,"chromosome:CP056418.1; plasmid pRHBSTW-00529_2:CP056419.1; plasmid pRHBSTW-00529_3:CP056420.1",,3,5609,"2020-07-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/747/515/GCA_013747515.1_ASM1374751v1",
"Klebsiella oxytoca","Bacteria;Proteobacteria;Gammaproteobacteria","NCTC11356","SAMEA3251432","PRJEB6403","GCA_900635105.1","Complete",5.85689,55.2,"chromosome 1:NZ_LR133932.1/LR133932.1",,1,5212,"2018-12-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/635/105/GCA_900635105.1_36109_D01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/635/105/GCF_900635105.1_36109_D01"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","AJ055","SAMEA5128435","PRJEB29928","GCA_900622585.1","Complete",5.66901,57.2568,"chromosome 1:NZ_LR130539.1/LR130539.1; plasmid 2:NZ_LR130540.1/LR130540.1",,2,5272,"2019-01-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/622/585/GCA_900622585.1_AJ055","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/622/585/GCF_900622585.1_AJ055"
"Klebsiella oxytoca","Bacteria;Proteobacteria;Gammaproteobacteria","P620","SAMN13290334","PRJNA589720","GCA_009707385.1","Complete",5.39476,54.1,"chromosome:NZ_CP046115.1/CP046115.1",,1,4844,"2019-11-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/707/385/GCA_009707385.1_ASM970738v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/707/385/GCF_009707385.1_ASM970738v1"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","BS326-1","SAMN16560596","PRJNA672205","GCA_015286005.1","Complete",5.61257,57.2434,"chromosome:NZ_CP063898.1/CP063898.1; plasmid pBS326-1:NZ_CP063899.1/CP063899.1",,2,5215,"2020-11-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/286/005/GCA_015286005.1_ASM1528600v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/286/005/GCF_015286005.1_ASM1528600v1"
"Klebsiella variicola At-22","Bacteria;Proteobacteria;Gammaproteobacteria","At-22","SAMN02598515","PRJNA37701","GCA_000025465.1","Complete",5.4585,57.6,"chromosome:NC_013850.1/CP001891.1",,1,5092,"2010-02-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/465/GCA_000025465.1_ASM2546v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/465/GCF_000025465.1_ASM2546v1"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","8917","SAMEA3140791","PRJEB7831","GCA_000941635.2","Complete",5.61128,56.958,"chromosome:NZ_CP063403.1/CP063403.1; plasmid pKv8917:NZ_CP063404.1/CP063404.1",,2,5230,"2020-10-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/941/635/GCA_000941635.2_ASM94163v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/941/635/GCF_000941635.2_ASM94163v2"
"Klebsiella aerogenes","Bacteria;Proteobacteria;Gammaproteobacteria","N1","SAMN13676153","PRJNA597473","GCA_009937725.1","Complete",5.16788,54.7,"chromosome:CP047259.1",,1,0,"2020-01-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/937/725/GCA_009937725.1_ASM993772v1",
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","M268-3","SAMN16539243","PRJNA671627","GCA_015476055.1","Complete",5.6085,57.2535,"chromosome:CP064319.1; plasmid pM268-3.1:CP064320.1; plasmid pM268-3.2:CP064321.1; plasmid pM268-3.3:CP064322.1",,4,0,"2020-11-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/476/055/GCA_015476055.1_ASM1547605v1",
"Klebsiella aerogenes","Bacteria;Proteobacteria;Gammaproteobacteria","NCTC9735","SAMEA80457418","PRJEB6403","GCA_900637945.1","Complete",5.19049,55,"chromosome 1:NZ_LR134475.1/LR134475.1",,1,4713,"2018-12-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/637/945/GCA_900637945.1_53421_E01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/637/945/GCF_900637945.1_53421_E01"
"Klebsiella oxytoca","Bacteria;Proteobacteria;Gammaproteobacteria","AR_0147","SAMN04014988","PRJNA292902","GCA_002072655.1","Complete",6.46133,55.5743,"chromosome:NZ_CP020358.1/CP020358.1; plasmid unitig_2:NZ_CP020359.1/CP020359.1",,2,5887,"2017-03-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/072/655/GCA_002072655.1_ASM207265v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/072/655/GCF_002072655.1_ASM207265v1"
"Klebsiella michiganensis","Bacteria;Proteobacteria;Gammaproteobacteria","BD177","SAMN13911826","PRJNA602959","GCA_010093005.1","Complete",6.8127,55.049,"chromosome:NZ_CP048108.1/CP048108.1; plasmid unnamed1:NZ_CP048109.1/CP048109.1; plasmid unnamed2:NZ_CP048110.1/CP048110.1; plasmid unnamed3:NZ_CP048111.1/CP048111.1; plasmid unnamed6:NZ_CP048112.1/CP048112.1",,5,6221,"2020-02-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/093/005/GCA_010093005.1_ASM1009300v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/093/005/GCF_010093005.1_ASM1009300v1"
"Klebsiella grimontii","Bacteria;Proteobacteria;Gammaproteobacteria","RHBSTW-00853","SAMN15148716","PRJNA605147","GCA_013730235.1","Complete",6.25335,55.5206,"chromosome:NZ_CP056150.1/CP056150.1; plasmid pRHBSTW-00853_2:NZ_CP056151.1/CP056151.1; plasmid pRHBSTW-00853_3:NZ_CP056152.1/CP056152.1; plasmid pRHBSTW-00853_4:NZ_CP056153.1/CP056153.1; plasmid pRHBSTW-00853_5:NZ_CP056154.1/CP056154.1",,5,5747,"2020-07-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/730/235/GCA_013730235.1_ASM1373023v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/730/235/GCF_013730235.1_ASM1373023v1"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","342","SAMN02603449","PRJNA28471","GCA_000019565.1","Complete",5.92026,56.884,"chromosome:NC_011283.1/CP000964.1; plasmid pKP187:NC_011282.1/CP000965.1; plasmid pKP91:NC_011281.1/CP000966.1",,3,5494,"2008-09-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/565/GCA_000019565.1_ASM1956v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/565/GCF_000019565.1_ASM1956v1"
"Klebsiella grimontii","Bacteria;Proteobacteria;Gammaproteobacteria","SS141","SAMN10462700","PRJNA506562","GCA_004104525.2","Complete",6.16999,55.7633,"chromosome:NZ_CP044527.1/CP044527.1; plasmid plamid_1:NZ_CP044528.1/CP044528.1; plasmid plamid_2:NZ_CP044529.1/CP044529.1; plasmid plamid_3.1:NZ_CP044530.1/CP044530.1; plasmid plamid_3.2:NZ_CP044531.1/CP044531.1",,5,5720,"2019-10-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/104/525/GCA_004104525.2_ASM410452v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/104/525/GCF_004104525.2_ASM410452v2"
"Klebsiella michiganensis","Bacteria;Proteobacteria;Gammaproteobacteria","FDAARGOS_647","SAMN11056362","PRJNA231221","GCA_008693565.1","Complete",6.65659,55.5953,"chromosome:NZ_CP044109.1/CP044109.1; plasmid unnamed1:NZ_CP044110.1/CP044110.1; plasmid unnamed2:NZ_CP044111.1/CP044111.1; plasmid unnamed3:NZ_CP044112.1/CP044112.1; plasmid unnamed4:NZ_CP044113.1/CP044113.1",,5,6117,"2019-09-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/693/565/GCA_008693565.1_ASM869356v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/693/565/GCF_008693565.1_ASM869356v1"
"Klebsiella aerogenes","Bacteria;Proteobacteria;Gammaproteobacteria","FDAARGOS_152","SAMN03996296","PRJNA231221","GCA_001559215.2","Complete",5.31714,55,"chromosome:NZ_CP014029.2/CP014029.2",,1,4864,"2016-02-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/559/215/GCA_001559215.2_ASM155921v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/559/215/GCF_001559215.2_ASM155921v2"
"Klebsiella aerogenes","Bacteria;Proteobacteria;Gammaproteobacteria","Y1","SAMN12877717","PRJNA575098","GCA_009732835.1","Complete",5.29506,54.8,"chromosome:NZ_CP045870.1/CP045870.1",,1,4812,"2019-12-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/732/835/GCA_009732835.1_ASM973283v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/732/835/GCF_009732835.1_ASM973283v1"
"Klebsiella aerogenes","Bacteria;Proteobacteria;Gammaproteobacteria","FDAARGOS_641","SAMN11056356","PRJNA231221","GCA_008693885.1","Complete",5.28633,54.9,"chromosome:NZ_CP044083.1/CP044083.1",,1,4809,"2019-09-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/693/885/GCA_008693885.1_ASM869388v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/693/885/GCF_008693885.1_ASM869388v1"
"Klebsiella michiganensis","Bacteria;Proteobacteria;Gammaproteobacteria","RHBSTW-00409","SAMN15148604","PRJNA605147","GCA_013610655.1","Complete",6.60352,55.1486,"chromosome:NZ_CP055325.1/CP055325.1; plasmid pRHBSTW-00409_2:NZ_CP055326.1/CP055326.1; plasmid pRHBSTW-00409_4:NZ_CP055328.1/CP055328.1; plasmid pRHBSTW-00409_5:NZ_CP055329.1/CP055329.1; plasmid unnamed:NZ_CP055327.1/CP055327.1",,5,6093,"2020-07-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/610/655/GCA_013610655.1_ASM1361065v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/610/655/GCF_013610655.1_ASM1361065v1"
"Klebsiella aerogenes","Bacteria;Proteobacteria;Gammaproteobacteria","Y3","SAMN12877718","PRJNA575098","GCA_009732815.1","Complete",5.27216,54.9,"chromosome:NZ_CP045869.1/CP045869.1",,1,4774,"2019-12-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/732/815/GCA_009732815.1_ASM973281v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/732/815/GCF_009732815.1_ASM973281v1"
"Klebsiella aerogenes","Bacteria;Proteobacteria;Gammaproteobacteria","Y6","SAMN12877719","PRJNA575098","GCA_009732795.1","Complete",5.26622,54.9,"chromosome:NZ_CP045868.1/CP045868.1",,1,4706,"2019-12-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/732/795/GCA_009732795.1_ASM973279v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/732/795/GCF_009732795.1_ASM973279v1"
"Klebsiella michiganensis","Bacteria;Proteobacteria;Gammaproteobacteria","AR375","SAMN07291518","PRJNA316321","GCA_003074075.1","Complete",6.52549,55.6107,"chromosome:NZ_CP029141.1/CP029141.1; plasmid unnamed1:NZ_CP029140.1/CP029140.1; plasmid unnamed2:NZ_CP029142.1/CP029142.1; plasmid unnamed3:NZ_CP029143.1/CP029143.1; plasmid unnamed4:NZ_CP029144.1/CP029144.1",,5,5996,"2018-04-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/075/GCA_003074075.1_ASM307407v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/074/075/GCF_003074075.1_ASM307407v1"
"Klebsiella oxytoca","Bacteria;Proteobacteria;Gammaproteobacteria","RHBSTW-00373","SAMN15148597","PRJNA605147","GCA_013750595.1","Complete",6.29355,55.0035,"chromosome:NZ_CP056567.1/CP056567.1; plasmid pRHBSTW-00373_2:NZ_CP056568.1/CP056568.1",,2,5717,"2020-07-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/750/595/GCA_013750595.1_ASM1375059v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/750/595/GCF_013750595.1_ASM1375059v1"
"Klebsiella aerogenes","Bacteria;Proteobacteria;Gammaproteobacteria","FDAARGOS_363","SAMN07312407","PRJNA231221","GCA_002591115.1","Complete",5.24545,55.1,"chromosome:NZ_CP023963.1/CP023963.1",,1,4781,"2017-10-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/591/115/GCA_002591115.1_ASM259111v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/591/115/GCF_002591115.1_ASM259111v1"
"Klebsiella oxytoca","Bacteria;Proteobacteria;Gammaproteobacteria","AR380","SAMN07291523","PRJNA316321","GCA_003073975.1","Complete",6.00375,54.8256,"chromosome:NZ_CP029128.1/CP029128.1; plasmid unnamed1:NZ_CP029127.1/CP029127.1",,2,5456,"2018-04-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/073/975/GCA_003073975.1_ASM307397v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/073/975/GCF_003073975.1_ASM307397v1"
"Klebsiella michiganensis","Bacteria;Proteobacteria;Gammaproteobacteria","M1","SAMN02887315","PRJNA253752","GCA_000724525.1","Complete",6.31138,55.85,"chromosome:NZ_CP008841.1/CP008841.1; plasmid pKOXM1A:NZ_CP008842.1/CP008842.1; plasmid pKOXM1B:NZ_CP008843.1/CP008843.1; plasmid pKOXM1C:NZ_CP008844.1/CP008844.1; plasmid pKOXM1D:NZ_CP008845.1/CP008845.1",,5,5676,"2014-07-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/724/525/GCA_000724525.1_ASM72452v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/724/525/GCF_000724525.1_ASM72452v1"
"Klebsiella aerogenes","Bacteria;Proteobacteria;Gammaproteobacteria","AR_0007","SAMN04014848","PRJNA292901","GCA_002796425.1","Complete",5.11862,55.1,"chromosome:NZ_CP024883.1/CP024883.1",,1,4667,"2017-11-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/796/425/GCA_002796425.1_ASM279642v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/796/425/GCF_002796425.1_ASM279642v1"
"Klebsiella aerogenes","Bacteria;Proteobacteria;Gammaproteobacteria","MINF_10B-sc-2280448","SAMEA3357515","PRJNA646837","GCA_904863085.1","Complete",5.11804,55,"chromosome 1:NZ_LR890184.1/LR890184.1",,1,4697,"2020-10-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/904/863/085/GCA_904863085.1_MINF_10B","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/904/863/085/GCF_904863085.1_MINF_10B"
"Klebsiella aerogenes","Bacteria;Proteobacteria;Gammaproteobacteria","AR_0018","SAMN04014859","PRJNA292901","GCA_002796405.1","Complete",5.08731,55.2,"chromosome:NZ_CP024880.1/CP024880.1",,1,4673,"2017-11-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/796/405/GCA_002796405.1_ASM279640v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/796/405/GCF_002796405.1_ASM279640v1"
"Klebsiella oxytoca","Bacteria;Proteobacteria;Gammaproteobacteria","FDAARGOS_335","SAMN06173348","PRJNA231221","GCA_002984395.1","Complete",6.04982,55.1126,"chromosome:NZ_CP027426.1/CP027426.1; plasmid unnamed:NZ_CP027425.1/CP027425.1",,2,5450,"2018-03-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/984/395/GCA_002984395.1_ASM298439v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/984/395/GCF_002984395.1_ASM298439v1"
"Klebsiella aerogenes","Bacteria;Proteobacteria;Gammaproteobacteria","LU2","SAMN10788268","PRJNA516401","GCA_006874725.1","Complete",5.06265,55,"chromosome:NZ_CP035466.1/CP035466.1",,1,4632,"2019-07-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/874/725/GCA_006874725.1_ASM687472v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/874/725/GCF_006874725.1_ASM687472v1"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","RHBSTW-00883","SAMN15148729","PRJNA605147","GCA_013728275.1","Complete",5.67548,57.2308,"chromosome:NZ_CP056145.1/CP056145.1; plasmid pRHBSTW-00883_2:NZ_CP056146.1/CP056146.1; plasmid pRHBSTW-00883_3:NZ_CP056147.1/CP056147.1",,3,5267,"2020-07-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/728/275/GCA_013728275.1_ASM1372827v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/728/275/GCF_013728275.1_ASM1372827v1"
"Klebsiella aerogenes","Bacteria;Proteobacteria;Gammaproteobacteria","AUH-KAM-9","SAMN12881488","PRJNA551102","GCA_010509815.1","Complete",5.05971,55.1,"chromosome:NZ_CP048598.1/CP048598.1",,1,4602,"2020-02-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/509/815/GCA_010509815.1_ASM1050981v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/509/815/GCF_010509815.1_ASM1050981v1"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","DX120E","SAMN03018135","PRJNA259590","GCA_000812205.2","Complete",5.71843,57.072,"chromosome:NZ_CP009274.2/CP009274.2; plasmid pKV1:NZ_CP009275.1/CP009275.1; plasmid pKV2:NZ_CP009276.1/CP009276.1",,3,5323,"2014-12-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/812/205/GCA_000812205.2_ASM81220v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/812/205/GCF_000812205.2_ASM81220v2"
"Klebsiella aerogenes","Bacteria;Proteobacteria;Gammaproteobacteria","NCTC9652","SAMEA3400781","PRJEB6403","GCA_900636095.1","Complete",5.57604,57.1804,"chromosome 1:LR134223.1; chromosome 2:LR134224.1",,2,6058,"2018-12-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/636/095/GCA_900636095.1_38828_B01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/095/GCF_900636095.1_38828_B01"
"Klebsiella aerogenes","Bacteria;Proteobacteria;Gammaproteobacteria","AR_0161","SAMN04015002","PRJNA292902","GCA_003071285.1","Complete",5.53747,54.6516,"chromosome:CP028951.1; plasmid unnamed:CP028952.1",,2,5192,"2018-04-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/071/285/GCA_003071285.1_ASM307128v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/071/285/GCF_003071285.1_ASM307128v1"
"Klebsiella grimontii","Bacteria;Proteobacteria;Gammaproteobacteria","RHBSTW-00866","SAMN15148723","PRJNA605147","GCA_013606065.1","Complete",6.77824,55.1665,"chromosome:NZ_CP055309.1/CP055309.1; plasmid pRHBSTW-00866_2:NZ_CP055310.1/CP055310.1; plasmid pRHBSTW-00866_3:NZ_CP055311.1/CP055311.1; plasmid pRHBSTW-00866_4:NZ_CP055312.1/CP055312.1; plasmid pRHBSTW-00866_5:NZ_CP055313.1/CP055313.1; plasmid unnamed:NZ_CP055314.1/CP055314.1",,6,6292,"2020-07-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/606/065/GCA_013606065.1_ASM1360606v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/606/065/GCF_013606065.1_ASM1360606v1"
"Klebsiella aerogenes KCTC 2190","Bacteria;Proteobacteria;Gammaproteobacteria","KCTC 2190","SAMN02603581","PRJNA66537","GCA_000215745.1","Complete",5.28035,54.8,"chromosome:NC_015663.1/CP002824.1",,1,4791,"2011-06-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/215/745/GCA_000215745.1_ASM21574v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/215/745/GCF_000215745.1_ASM21574v1"
"Klebsiella aerogenes","Bacteria;Proteobacteria;Gammaproteobacteria","G7","SAMN03448049","PRJNA279469","GCA_001571545.2","Complete",5.62643,54.8443,"chromosome:NZ_CP011539.1/CP011539.1; plasmid pGPN1:NZ_CP011540.1/CP011540.1",,2,5254,"2016-02-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/571/545/GCA_001571545.2_ASM157154v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/571/545/GCF_001571545.2_ASM157154v2"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","GJ1","SAMN05361763","PRJNA327903","GCA_001989495.1","Complete",5.86047,57.1089,"chromosome:NZ_CP017284.1/CP017284.1; plasmid pKPGJ-1a:NZ_CP017283.1/CP017283.1; plasmid pKPGJ-1b:NZ_CP017281.1/CP017281.1; plasmid pKPGJ-1c:NZ_CP017282.1/CP017282.1",,4,5473,"2017-02-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/989/495/GCA_001989495.1_ASM198949v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/989/495/GCF_001989495.1_ASM198949v1"
"Klebsiella grimontii","Bacteria;Proteobacteria;Gammaproteobacteria","RHBSTW-00054","SAMN15148463","PRJNA605147","GCA_013590775.1","Complete",6.52561,55.0932,"chromosome:NZ_CP055412.1/CP055412.1; plasmid pRHBSTW-00054_2:NZ_CP055413.1/CP055413.1; plasmid pRHBSTW-00054_3:NZ_CP055414.1/CP055414.1; plasmid pRHBSTW-00054_5:NZ_CP055416.1/CP055416.1; plasmid pRHBSTW-00054_6:NZ_CP055417.1/CP055417.1; plasmid unnamed:NZ_CP055415.1/CP055415.1",,6,5994,"2020-07-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/590/775/GCA_013590775.1_ASM1359077v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/590/775/GCF_013590775.1_ASM1359077v1"
"Klebsiella aerogenes","Bacteria;Proteobacteria;Gammaproteobacteria","AR_0009","SAMN04014850","PRJNA292901","GCA_002796525.1","Complete",5.33233,55.0003,"chromosome:NZ_CP024885.1/CP024885.1; plasmid tig00000054_pilon:NZ_CP024884.1/CP024884.1",,2,4892,"2017-11-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/796/525/GCA_002796525.1_ASM279652v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/796/525/GCF_002796525.1_ASM279652v1"
"Klebsiella grimontii","Bacteria;Proteobacteria;Gammaproteobacteria","RHBSTW-00181","SAMN15148529","PRJNA605147","GCA_013624225.1","Complete",6.09166,55.7335,"chromosome:NZ_CP058112.1/CP058112.1; plasmid pRHBSTW-00181_2:NZ_CP058113.1/CP058113.1; plasmid pRHBSTW-00181_3:NZ_CP058114.1/CP058114.1; plasmid pRHBSTW-00181_4:NZ_CP058115.1/CP058115.1; plasmid pRHBSTW-00181_5:NZ_CP058116.1/CP058116.1; plasmid pRHBSTW-00181_6:NZ_CP058117.1/CP058117.1",,6,5614,"2020-07-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/624/225/GCA_013624225.1_ASM1362422v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/624/225/GCF_013624225.1_ASM1362422v1"
"Klebsiella oxytoca","Bacteria;Proteobacteria;Gammaproteobacteria","KONIH5","SAMN06040382","PRJNA430813","GCA_002906435.1","Complete",6.51821,55.5842,"chromosome:NZ_CP026275.1/CP026275.1; plasmid pKOR-ab4d:NZ_CP026276.1/CP026276.1; plasmid pKPC-8bc0:NZ_CP026277.1/CP026277.1",,3,5980,"2018-01-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/906/435/GCA_002906435.1_ASM290643v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/906/435/GCF_002906435.1_ASM290643v1"
"Klebsiella grimontii","Bacteria;Proteobacteria;Gammaproteobacteria","RHBSTW-00186","SAMN15148531","PRJNA605147","GCA_013744615.1","Complete",6.04397,55.7322,"chromosome:NZ_CP056760.1/CP056760.1; plasmid pRHBSTW-00186_2:NZ_CP056761.1/CP056761.1; plasmid pRHBSTW-00186_3:NZ_CP056762.1/CP056762.1; plasmid pRHBSTW-00186_4:NZ_CP056763.1/CP056763.1; plasmid pRHBSTW-00186_5:NZ_CP056764.1/CP056764.1; plasmid pRHBSTW-00186_6:NZ_CP056765.1/CP056765.1",,6,5545,"2020-07-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/744/615/GCA_013744615.1_ASM1374461v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/744/615/GCF_013744615.1_ASM1374461v1"
